value,name,color,area
2,Evergreen Broadleaf Forests,086a10,628734.25
8,Woody Savannas,dade48,20244.5
10,Grasslands,b6ff05,8311.25
11,Permanent Wetlands,27ff87,7127
9,Savannas,fbff13,5183.75
17,Water Bodies,1c0dff,2179.25
12,Croplands,c24f44,666.5
14,Cropland/Natural Vegetation Mosaics,ff6d4c,530.5
13,Urban and Built-up Lands,a5a5a5,510
4,Deciduous Broadleaf Forests,78d203,31
16,Barren,f9ffa4,22.75
6,Closed Shrublands,c6b044,6.75
5,Mixed Forests,009900,6.25
7,Open Shrublands,dcd159,3.75
1,Evergreen Needleleaf Forests,05450a,1.5
